id,tag,source,as_of
c0033,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0055,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0058,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0168,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0177,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0178,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0184,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0190,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0234,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0265,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0294,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0295,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0334,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0347,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0357,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0399,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0403,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0404,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0405,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0408,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0409,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0410,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0412,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0413,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0413,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0416,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0417,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0418,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0420,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0425,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0431,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0438,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0442,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0444,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0444,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0448,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0448,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0449,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0453,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0456,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0457,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0458,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0459,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0466,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0469,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0470,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0471,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0473,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0474,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0475,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0499,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0509,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0515,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0516,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0517,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0517,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0521,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0537,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0540,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0541,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0542,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0542,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0544,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0544,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0545,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0545,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0547,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0549,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0549,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0550,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0552,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0553,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0554,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
c0554,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0564,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
